season,depth_thresholds_m,weighting_scenario,Q25,Q50,Q75,min_nonzero,max_value,n_nonzero
summer,10/50,30_70,0.005784686960961954,0.11677671443397637,0.5258415732332626,7.105353272500666e-12,0.923600420418124,15343
summer,10/50,50_50,0.008218288775079182,0.10031196344888976,0.39328643294089344,1.1842255454167778e-11,0.8727623838882534,15343
summer,10/50,70_30,0.009587721361502259,0.08931154560395083,0.25811976085435184,1.6579157635834887e-11,0.8219243473583828,15343
summer,20/50,30_70,0.00595943144611831,0.1395985107284237,0.6485939689044298,7.105353272500666e-12,0.9288276473427494,15343
summer,20/50,50_50,0.008575253799908358,0.11759632052011071,0.48157202781418146,1.1842255454167778e-11,0.8813796759924473,15343
summer,20/50,70_30,0.009940539720411413,0.09924675173649794,0.3,1.6579157635834887e-11,0.8339317046421454,15343
summer,20/60,30_70,0.007130476539172211,0.2036447491156145,0.6602753078770792,7.105353272500666e-12,0.9288276473427494,15343
summer,20/60,50_50,0.010054100836622691,0.16223791694297193,0.489815529233113,1.1842255454167778e-11,0.8813796759924473,15343
summer,20/60,70_30,0.011182601604635085,0.12035901086158955,0.3,1.6579157635834887e-11,0.8339317046421454,15343
winter,10/50,30_70,4.6039033099317593e-4,0.1197149742378637,0.5114662532372591,1.64026527973379e-11,0.8994323930954627,15020
winter,10/50,50_50,7.408878210768371e-4,0.08663379006927044,0.366762211579306,2.7337754662229834e-11,0.8324823383504849,15020
winter,10/50,70_30,9.743052890474985e-4,0.053202641214359483,0.22169188058104006,3.8272856527121764e-11,0.7655322836055068,15020
winter,20/50,30_70,4.6367532328395655e-4,0.1494585521355847,0.635907904270552,1.64026527973379e-11,0.8994323930954627,15020
winter,20/50,50_50,7.496353636025788e-4,0.10823412526676629,0.45640919830608295,2.7337754662229834e-11,0.8324823383504849,15020
winter,20/50,70_30,9.939636590059397e-4,0.06615507868122311,0.2761515794257136,3.8272856527121764e-11,0.7655322836055068,15020
winter,20/60,30_70,6.018795169903011e-4,0.21004546493055123,0.6475822046189813,1.64026527973379e-11,0.8994323930954627,15033
winter,20/60,50_50,9.445221984901593e-4,0.15063234199128817,0.4644748963431875,2.7337754662229834e-11,0.8324823383504849,15033
winter,20/60,70_30,0.0012293950900808253,0.09157185251149928,0.28052415463122304,3.8272856527121764e-11,0.7655322836055068,15033
